filename,avg_score,SourceRA,SourceDec,checked_ned
4001302576886,49.0,50.45272442916041,16.86982188303015,1
4000880785798,48.0,264.8763517721547,69.11769983562523,1
4000986556751,47.0,109.35839084878373,37.69867318351034,1
4001419089401,47.0,345.2246384106753,0.37194127220128015,1
4000740198479,44.0,205.88492992373088,-38.186783248674,1
4001131319654,43.333333333333336,79.94170273929142,-44.06376596203901,1
4000722905567,43.0,255.16767392686012,64.22860071003704,1
4000717407738,43.0,265.28713631146604,-53.744006713581555,1
4000859733394,43.0,14.554371705127895,38.06909254680022,1
4001413889684,43.0,184.4662477985961,14.766001246099119,1
4000840128273,42.0,109.44524288162984,37.67301961781163,1
4001448742815,42.0,186.48067874430427,18.20233560531147,1
4000892840285,42.0,57.5983342379616,-8.888473180100675,1
4000730006251,41.0,43.51297234249721,-83.13610157366146,1
4001067416165,41.0,195.70376311009113,-23.9062620413711,1
4000945129715,41.0,235.24962022519412,14.757312333602492,1
4000814558254,41.0,278.9320893423587,52.63086130073314,1
4001115427013,41.0,16.854554327905706,35.7842350896124,1
4000880786023,41.0,264.8218043273634,69.11476933930044,1
4000722905623,41.0,255.15040828939445,64.22940653572441,1
4000922957908,40.5,204.93026487350988,40.713776474355875,1
4001111389820,40.5,314.9506807608518,-42.77093272797978,1
4001289743784,40.5,150.23298941774618,55.90724278548594,1
4000812861120,40.333333333333336,199.7912645068313,-2.0924760641417475,1
4000890975136,40.0,345.3456738151643,-38.98398761117597,1
4001221030090,40.0,109.29917342702754,37.76554031393815,1
4001296094852,40.0,265.21476418978165,68.96164641057614,1
4001413837677,40.0,246.96483325067283,-0.921131978164011,1
4001141890786,40.0,17.580502576592146,19.64047195534015,1
4001414918153,40.0,147.7716176519914,33.58210141799102,1
4001019171923,40.0,202.0259491137868,-31.528301407011394,1
4000708222055,40.0,24.719615095454397,-10.453928263725517,1
4001115427781,40.0,16.879782939216447,35.810378617799365,1
4000913398017,40.0,193.5591120556159,27.1848474871124,1
4000878937064,40.0,91.9021578930408,24.09246899463171,1
4000834777493,40.0,200.53830533816844,-42.709213978594114,1
4000730004890,40.0,43.54238230330459,-83.16128043507015,1
4000993154894,40.0,12.745598910994573,44.18348355864141,1
4000896310189,40.0,43.168649248298564,-15.032715203164054,1
4001122338736,39.5,330.6830949484485,-19.01010398912546,1
4000906181121,39.333333333333336,199.3363577361668,-2.0377891925423826,1
4000843146402,39.0,187.03920827688725,12.578050180126429,1
4001296953018,39.0,264.68355830408814,68.98102636032203,1
4000717417002,39.0,265.2925650085606,-53.720765762905216,1
4001156419670,39.0,104.6226800292022,-55.97156278392242,1
4001413889658,39.0,184.4911107122236,14.764921142020636,1
4001163886834,39.0,264.9502712635038,69.1211111772337,1
4000721973550,39.0,202.01973421080876,-27.332291618077882,1
4000809663987,39.0,109.36701318201824,37.812252197232645,1
4001187560436,39.0,231.1820915159444,9.96000805505709,1
4001196346976,39.0,265.1233314313856,68.947814536765,1
4001097389494,39.0,44.278251050503705,-23.433191861773746,1
4001097389166,39.0,44.28044316163615,-23.441587759843568,1
4001300488400,39.0,155.3165179760668,34.62154273480245,1
4001024438186,39.0,200.86109469150836,30.376203892426048,1
4000941572945,39.0,78.91419875867074,-43.40317174704213,1
4001430619599,39.0,180.35271318902753,-19.0049803140616,1
4001221029019,39.0,109.30543744767002,37.73148616811342,1
4000764663823,39.0,43.505509237706384,14.959095116482183,1
4001430439535,38.666666666666664,5.98933148953024,-24.722594465381867,1
4000941572730,38.666666666666664,78.90606296607749,-43.41782439398636,1
4001142337398,38.0,247.6005209688535,45.35851765326575,1
4000791261136,38.0,150.34533146381443,55.92793774964336,1
4001023648264,38.0,109.61208028356297,37.67323560631147,1
4000905739314,38.0,228.2932596386068,6.1783931043453455,1
4001118627694,38.0,12.983233792130674,44.09416093617311,1
4001003813654,38.0,172.11848862275625,58.552206345094206,1
4001413838266,38.0,246.96275469366165,-0.8732819869939835,1
4000845325735,38.0,165.73322145922978,-5.3479207865643374,1
4001289743428,38.0,150.26229498301112,55.89718329136233,1
4000990582982,38.0,204.27009603277637,-30.139386129370116,1
4000880785998,38.0,264.84465479728715,69.11707497554384,1
4001296094631,38.0,265.1987321109159,68.94489366028913,1
4001128227779,38.0,49.866637608844094,41.51234935552162,1
4000880785971,38.0,264.8277121676278,69.12254285557952,1
