subject_id count selected_count unique_user_count
88387883 21 0 20
88576724 21 0 17
88510105 42 0 22
86647717 17 0 13
86638167 19 0 16
86613692 17 0 10
86709820 18 0 13
87973459 17 0 14
87971369 13 0 13
88514622 15 0 11
88569971 21 0 13
86407351 16 0 16
86682586 17 0 11
86911728 20 0 13
86713248 15 0 11
86699694 19 0 12
86403744 16 0 15
86616506 12 0 10
86693365 15 0 10
86639255 13 0 11
