subject_id count selected_count unique_user_count
88387883 21 0 20
88576724 21 0 17
88510105 42 0 22
86647717 17 0 13
86638167 19 0 16
86613692 17 0 10
86709820 18 0 13
87973459 17 0 14
87971369 13 0 13
88514622 15 0 11
88569971 21 0 13
86407351 16 0 16
86682586 17 0 11
86911728 20 0 13
86713248 15 0 11
86699694 19 0 12
86403744 16 0 15
86616506 12 0 10
86693365 15 0 10
86639255 13 0 11
86625187 14 0 10
87940904 31 0 20
87945340 22 0 17
86645569 18 0 12
86917812 30 0 16
86645460 19 0 17
86695671 18 0 11
88382030 15 0 10
86645341 20 0 15
86711250 11 0 11
86688194 14 0 10
86408620 19 0 17
86598450 14 0 10
86412504 16 0 15
88570417 25 0 19
86399538 18 0 17
87002637 25 0 13
86994979 13 0 10
87953433 19 0 12
88380061 12 0 11
88008415 15 0 10
86654531 14 0 12
86708699 13 0 10
86699330 14 0 11
86645405 15 0 11
86646491 13 0 12
86702632 15 0 10
86990622 20 0 12
86704877 15 0 10
87934538 14 0 12
86411818 19 0 18
86606110 10 0 10
86685432 22 0 18
88019858 14 0 11
86688928 13 0 12
86625975 16 0 14
86646543 14 0 10
86402598 12 0 12
86682258 21 0 13
86702794 13 0 11
86908717 12 0 10
86704061 22 0 13
86700858 23 0 14
87955337 21 0 14
87943970 15 0 14
86644276 14 0 12
86999686 15 0 11
86684543 28 0 19
88016563 13 0 10
88502839 13 0 11
88510730 19 0 13
87983791 20 0 18
87949560 18 0 12
86651729 17 0 15
86622238 30 0 16
87947129 13 0 11
86706899 12 0 10
86920444 16 0 10
88390418 21 0 15
86411951 13 0 12
86995930 17 0 11
87940525 15 0 11
86632692 15 0 13
88568408 23 0 20
88387632 11 0 11
88514410 31 0 20
88570204 25 0 16
88379273 15 0 12
87942639 26 0 14
86610575 15 0 12
86698883 15 0 11
88386542 19 0 15
86606152 31 0 21
86704612 21 0 15
87940104 17 0 11
88014739 18 0 11
86404593 14 0 13
88003355 13 0 11
87942622 13 0 10
86689639 18 0 12
86399484 17 0 15
86992576 14 0 11
86406071 11 0 11
88577287 25 0 20
86705280 13 0 11
86608587 10 0 10
86650606 14 0 11
86646193 15 0 12
86401486 16 0 14
86653685 21 0 17
88512668 24 0 12
86915446 34 0 18
88383043 17 0 11
88393453 15 0 13
86695276 21 0 15
88024634 21 0 15
86411074 21 0 21
86698792 11 0 10
86918824 22 0 15
88025787 15 0 12
87943778 24 0 12
88577825 25 0 17
88395714 13 0 11
88377162 15 0 12
88026675 14 0 11
88400302 16 0 13
86397522 15 0 13
88017522 13 0 10
87981944 18 0 16
88497301 26 0 18
86695299 17 0 11
86913757 17 0 14
88500621 26 0 15
86620231 11 0 10
86994021 18 0 13
86696488 16 0 12
86400339 17 0 13
86694599 13 0 11
86405580 19 0 13
86415037 22 0 19
86698997 26 0 12
86912484 16 0 14
86595364 15 0 11
87947816 17 0 12
88385782 18 0 11
86613244 14 0 12
88025244 17 0 16
86653201 17 0 15
86699531 14 0 12
88577122 21 0 14
88501382 31 0 19
88027460 14 0 12
86699613 17 0 12
86405722 14 0 11
88012397 19 0 13
86698950 16 0 15
87952393 21 0 16
86617352 17 0 10
87954400 25 0 13
86625213 11 0 10
86604099 11 0 10
86709452 28 0 13
86689275 16 0 10
86682845 21 0 13
86708668 17 0 11
88400636 11 0 10
87935001 19 0 13
86621768 14 0 11
86998691 17 0 14
86998070 26 0 15
86698212 15 0 12
86414746 16 0 16
88014227 14 0 10
86614384 13 0 10
86689503 15 0 11
86690688 13 0 10
86694931 17 0 15
86654021 16 0 15
88017284 23 0 17
86408806 14 0 14
86700944 14 0 11
