filename,object_name,bibcode,year,title
4001158716963,MCPS J01.137590-72.99432,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158717774,MCPS J01.137110-72.99158,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158717774,MCPS J01.137110-72.99158,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158719544,MCPS J01.147752-72.98848,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158719544,MCPS J01.147752-72.98848,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158719634,MCPS J01.147055-72.98856,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158719634,MCPS J01.147055-72.98856,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
4001158719634,MCPS J01.147055-72.98856,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158719863,MCPS J01.142364-72.98802,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158719863,MCPS J01.142364-72.98802,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158719935,MCPS J01.146232-72.98754,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158719935,MCPS J01.146232-72.98754,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158720303,MCPS J01.137702-72.98674,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158720303,MCPS J01.137702-72.98674,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158720733,2MAS6W J01082445-7259055,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
4001158720733,2MAS6W J01082445-7259055,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158720956,MCPS J01.137131-72.98529,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158720956,MCPS J01.137131-72.98529,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158721690,MCPS J01.147929-72.98427,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158721690,MCPS J01.147929-72.98427,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158722502,MCPS J01.147306-72.98244,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158722502,MCPS J01.147306-72.98244,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158722916,MCPS J01.139759-72.98146,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158722916,MCPS J01.139759-72.98146,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
4001158722916,MCPS J01.139759-72.98146,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158724355,MCPS J01.149032-72.97897,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158724355,MCPS J01.149032-72.97897,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158725439,MCPS J01.150264-72.97549,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158725439,MCPS J01.150264-72.97549,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158725833,MCPS J01.139077-72.97523,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158725833,MCPS J01.139077-72.97523,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158727115,MCPS J01.142648-72.97259,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158727115,MCPS J01.142648-72.97259,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158727938,MCPS J01.146377-72.97119,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158727938,MCPS J01.146377-72.97119,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158728166,MCPS J01.150295-72.97079,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158728166,MCPS J01.150295-72.97079,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158728710,MCPS J01.147623-72.96962,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158728710,MCPS J01.147623-72.96962,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158729281,MCPS J01.140937-72.96835,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158729281,MCPS J01.140937-72.96835,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158730578,MCPS J01.141492-72.96580,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158730578,MCPS J01.141492-72.96580,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158730831,MCPS J01.144154-72.96628,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158730831,MCPS J01.144154-72.96628,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158731138,MCPS J01.149336-72.96523,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158731138,MCPS J01.149336-72.96523,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158731980,MCPS J01.140534-72.96055,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158731980,MCPS J01.140534-72.96055,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
